,Artist,decade,top_words,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word0_count,word1_count,word2_count,word3_count,word4_count,word5_count,word6_count,word7_count,word8_count,word9_count,word10_count,word11_count,word12_count,word13_count,word14_count,word15_count,word16_count,word17_count,word18_count,word19_count
Aesop Rock,Aesop Rock,2000s,one day night light little got pig dream will never yes might yall bit turn year keep em something go,one,day,night,light,little,got,pig,dream,will,never,yes,might,yall,bit,turn,year,keep,em,something,go,1.0,0.8461538461538461,0.7384615384615385,0.7076923076923077,0.5230769230769231,0.49230769230769234,0.46153846153846156,0.4153846153846154,0.4,0.4,0.4,0.38461538461538464,0.38461538461538464,0.36923076923076925,0.36923076923076925,0.36923076923076925,0.3384615384615385,0.3384615384615385,0.3230769230769231,0.3076923076923077
Clipse,Clipse,2000s,money nigga got dirty shit brrat aint man keys say door bout ya come open wamp see cheap back em,money,nigga,got,dirty,shit,brrat,aint,man,keys,say,door,bout,ya,come,open,wamp,see,cheap,back,em,1.0,0.9642857142857143,0.8482142857142857,0.6160714285714286,0.5446428571428571,0.5357142857142857,0.5089285714285714,0.41964285714285715,0.4107142857142857,0.36607142857142855,0.3482142857142857,0.3392857142857143,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.30357142857142855,0.29464285714285715,0.29464285714285715,0.2857142857142857,0.2857142857142857
Deltron 3030,Deltron 3030,2000s,time matter thing one yo deltron remember want might done got try go thirty yall automator people wait day take,time,matter,thing,one,yo,deltron,remember,want,might,done,got,try,go,thirty,yall,automator,people,wait,day,take,1.0,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.9,0.9,0.9,0.8,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.7333333333333333,0.7,0.6333333333333333,0.6333333333333333,0.6,0.6,0.6,0.5666666666666667,0.5666666666666667
Eminem,Eminem,2000s,go got back superman fuck shit em gonna shady want aint think one til give love come say slim stand,go,got,back,superman,fuck,shit,em,gonna,shady,want,aint,think,one,til,give,love,come,say,slim,stand,1.0,0.9375,0.8625,0.8625,0.8125,0.75,0.725,0.7,0.6375,0.625,0.6125,0.6,0.5875,0.5875,0.575,0.575,0.5625,0.5375,0.525,0.525
JAY-Z,JAY-Z,2000s,nigga got uh shit fuck aint one love yall see never back new day come rap still big em bitch,nigga,got,uh,shit,fuck,aint,one,love,yall,see,never,back,new,day,come,rap,still,big,em,bitch,1.0,0.5620915032679739,0.5490196078431373,0.4117647058823529,0.3660130718954248,0.35947712418300654,0.30718954248366015,0.2679738562091503,0.26143790849673204,0.2549019607843137,0.2549019607843137,0.23529411764705882,0.22875816993464052,0.2222222222222222,0.2222222222222222,0.21568627450980393,0.20261437908496732,0.20261437908496732,0.19607843137254902,0.19607843137254902
Kanye West,Kanye West,2000s,bam got nigga aint ey look see swerve go la girl need money kid gotta god shit tell uh ya,bam,got,nigga,aint,ey,look,see,swerve,go,la,girl,need,money,kid,gotta,god,shit,tell,uh,ya,1.0,0.9565217391304348,0.9130434782608695,0.8260869565217391,0.8115942028985508,0.7971014492753623,0.7391304347826086,0.7246376811594203,0.7246376811594203,0.7246376811594203,0.6086956521739131,0.6086956521739131,0.5797101449275363,0.5797101449275363,0.5797101449275363,0.5507246376811594,0.5362318840579711,0.5217391304347826,0.5217391304347826,0.5217391304347826
Kid Cudi,Kid Cudi,2000s,hmhmmm night fuck nigga hey aint see tell made got life never time love thing think man god day keep,hmhmmm,night,fuck,nigga,hey,aint,see,tell,made,got,life,never,time,love,thing,think,man,god,day,keep,1.0,0.9464285714285714,0.9285714285714286,0.8392857142857143,0.8392857142857143,0.7678571428571429,0.7678571428571429,0.7321428571428571,0.6607142857142857,0.6607142857142857,0.6428571428571429,0.625,0.5714285714285714,0.5714285714285714,0.5535714285714286,0.5357142857142857,0.5178571428571429,0.5,0.5,0.48214285714285715
Lil Wayne,Lil Wayne,2000s,nigga got love bitch fuck aint see go shit bitches tell call say right money never man back look em,nigga,got,love,bitch,fuck,aint,see,go,shit,bitches,tell,call,say,right,money,never,man,back,look,em,1.0,0.7847222222222222,0.6527777777777778,0.6388888888888888,0.5,0.4930555555555556,0.4930555555555556,0.4652777777777778,0.4305555555555556,0.4027777777777778,0.3541666666666667,0.3194444444444444,0.3194444444444444,0.3194444444444444,0.3125,0.2986111111111111,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.24305555555555555
MF DOOM,MF DOOM,2000s,doom got man keep em one back shit say never might right see time take come ya need make nigga,doom,got,man,keep,em,one,back,shit,say,never,might,right,see,time,take,come,ya,need,make,nigga,1.0,0.9387755102040817,0.7755102040816326,0.7346938775510204,0.7142857142857143,0.6938775510204082,0.6938775510204082,0.6530612244897959,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.46938775510204084,0.4489795918367347,0.4489795918367347,0.42857142857142855,0.40816326530612246,0.3877551020408163
Danny Brown,Danny Brown,2010s,dip nigga aint blunt bitch kush coma got back put fuck go really stop tell might shit ya zone doe,dip,nigga,aint,blunt,bitch,kush,coma,got,back,put,fuck,go,really,stop,tell,might,shit,ya,zone,doe,1.0,0.9380530973451328,0.7168141592920354,0.6283185840707964,0.5221238938053098,0.504424778761062,0.4778761061946903,0.46017699115044247,0.3893805309734513,0.2920353982300885,0.2743362831858407,0.26548672566371684,0.25663716814159293,0.24778761061946902,0.23893805309734514,0.23008849557522124,0.23008849557522124,0.22123893805309736,0.22123893805309736,0.21238938053097345
